,ID,School
255561,420472,Florida Int'l
237337,420472,Rutgers
140040,421825,Alabama
165115,421825,California
230982,421916,Valparaiso (W)
91153,421916,Valparaiso (M)
127676,421985,Utah
274454,421985,Arizona St
120428,422123,Texas A&M
317277,422123,Kenyon
55896,422170,San Jose St
308783,422170,CSU East Bay
303887,422239,Edinboro
313901,422239,PennWest
123987,422503,LSU
278461,422503,Duquesne
65975,422592,Michigan
274290,422592,UCLA
307338,422728,West Florida
251951,422728,TCU
358146,422854,SUNY Oneonta
264368,422854,Texas A&M
26061,423441,Yale
282738,423441,Georgetown
709,423465,TCU
171233,423465,Queens (NC)
227595,423465,Baruch
315202,423467,Kalamazoo
42188,423467,Georgia
342685,423703,Carleton
316158,423703,Colby
49278,423716,Evansville (W)
238539,423716,Virginia Tech
62590,425106,Florida
162595,425106,Louisville
245008,426291,Air Force (W)
75500,426291,Air Force (M)
115779,426297,Air Force (M)
272463,426297,Air Force (W)
281386,427958,NC State
292386,427958,Ursuline
289498,427964,Rice
292657,427964,Frostburg St.
190476,431203,Allegheny
140349,431203,Colgate
118826,431630,Denison
238037,431630,Pittsburgh
301926,431717,Saint Rose
359616,431717,Augustana
352203,432270,Clarkson
125934,432270,Springfield
245674,432759,California
289957,432759,Texas
62336,433087,Fla Atlantic (W)
137649,433087,Fla Atlantic (M)
115334,433168,Indiana
274134,433168,UCLA
261142,433232,UNLV (W)
248433,433232,UNLV (M)
138081,433239,Columbia
220580,433239,Johns Hopkins
245550,433243,Bryant U (W)
100353,433243,Bryant U (M)
260286,433252,Hawaii
79433,433252,Cincinnati
263509,434312,Missouri
15792,434312,Iowa
56571,434417,Purdue
254016,434417,Wisconsin
240771,434417,Iowa
106928,434627,Illinois Chicago (W)
229850,434627,Illinois-Chicago
232330,434770,Air Force (W)
70033,434770,Air Force (M)
31670,434794,East Carolina
246494,434794,Tennessee
11792,434970,Florida St
186616,434970,TAMPA
137563,435825,Fla Atlantic (M)
62345,435825,Fla Atlantic (W)
267340,436578,UMBC
286870,436578,Rutgers
95516,437399,Notre Dame
188425,437399,Salisbury
80133,438168,Case Western
316737,438168,Wellesley
89304,438441,Nova S'eastern
175965,438441,Findlay
92867,438596,West Florida
312330,438596,Indy
283667,439855,IU Indianapolis
275018,439855,South Carolina
46832,440104,U.S. Navy
255383,440104,FGCU
86016,440190,Florida Southern
168287,440190,Purdue
171649,440219,Lynn
318872,440219,BSC
268367,440219,Rice
232740,442895,Bryant U (W)
40292,442895,Bryant U (M)
249617,442947,Virginia Tech
236995,442947,Michigan St
316100,442972,Marymount
237410,442972,Rutgers
244161,443107,Valparaiso (W)
65315,443107,Valparaiso (M)
314945,443137,Hope College
345378,443137,DePauw
139466,443146,Arizona
132375,443146,UNLV (M)
246853,443515,LSU
115304,443515,Iowa
1493,443639,Marist
217660,443639,SUNY Geneseo
60606,443653,NC State
249710,443653,Miami (FL)
114602,444688,Pacific
277679,444688,Idaho
280047,445178,Rutgers
258120,445178,Toledo
1037,445313,Wyoming (W)
141186,445313,Wyoming (M)
284407,445398,UNLV (W)
115767,445398,UNLV (M)
245894,445416,Utah
311320,445416,Colorado Mesa
21259,445423,Eastern Ill
290868,445423,San Diego
259597,445765,CSUB
309267,445765,Clarion
253064,445818,Illinois
271962,445818,San Diego
313134,445823,Augustana (W)
116960,445823,Oklahoma Baptist
326755,446474,Saint Joseph CT
93401,446474,UM Dartmouth
261896,446602,Bryant U (W)
41152,446602,Bryant U (M)
232265,446822,UNLV (W)
91271,446822,UNLV (M)
162866,447018,Georgia Tech
173477,447018,Henderson St.
33156,447170,Army
167341,447170,St. Bonaventure
31649,447321,New Mexico
272998,447321,Wagner
234440,447488,American
312245,447488,Truman St.
250306,447702,UMBC
110088,447702,South Dakota
42038,447931,St. Kate's
339068,447931,UWEC
29364,448083,UW-Whitewater
339071,448083,UW-L
153513,448593,Pittsburgh
164615,448593,SIUC (M)
41428,448685,Missouri St. (M)
243911,448685,Missouri St (W)
149360,449486,Arizona
156642,449486,Hawaii
166895,449803,Wyoming (M)
121885,449803,Wyoming (W)
4838,449991,Liberty
318814,449991,Sewanee
311124,450292,Colorado Mesa
67787,450292,Carson-Newman
103416,450591,Southern Cali
158326,450591,Alabama
277216,450620,South Dakota St
291161,450620,Arizona
69315,450694,Arizona
291579,450694,California
240767,450809,Northwestern
250546,450809,SMU
86128,450844,East Carolina
143353,450844,GW
262661,450917,Southern Cali
236977,450917,Northwestern
249352,450947,NC State
232899,450947,SMU
237439,450971,Northwestern
251439,450971,Fordham
150700,451072,Tennessee
7979,451072,Iowa
69332,451082,Northwestern
281676,451082,Miami (FL)
275529,451711,Alabama
267708,451711,GA Southern
64290,451771,Denison
221641,451771,Calvin
229997,451910,Harvard
280152,451910,Ohio St
173934,452371,Oklahoma Baptist
177715,452371,Henderson St.
229213,452710,Old Dominion (W)
106845,452710,Old Dominion (M)
65485,452856,East Carolina
239996,452856,George Mason
298357,452880,Oklahoma Baptist
255058,452880,Gardner-Webb
158546,453033,LSU
111417,453033,Louisville
355478,453699,USMMA
97114,453699,Staten Island
160099,454072,Wyoming (M)
89034,454072,Wyoming (W)
268269,454127,Liberty
116083,454127,Penn St
53313,455899,Seattle U (W)
153027,455899,Seattle U (M)
272861,455906,Air Force (W)
83744,455906,Air Force (M)
208005,456093,SUNY Oneonta
216798,456093,Redlands
136563,456361,Seton Hall
212531,456361,Marywood
133304,456361,Connecticut
158391,456918,Missouri
136860,456918,Michigan
126883,456936,Kentucky
186063,456936,Clarion
110741,456994,Illinois Chicago (W)
137844,456994,Illinois-Chicago
146589,457001,IU Indianapolis
69463,457001,Western Ill
256255,457620,Illinois-Chicago
123581,457620,Illinois Chicago (W)
15551,457847,Western Ill
259588,457847,CSUB
110183,458216,William & Mary
218523,458216,UW-Stevens Point
324098,458669,McMurry
316927,458669,Kean University
104548,459303,Lindenwood
330903,459303,Saint Benedict
250552,459545,SMU
284459,459545,Nevada
131748,459561,Lehigh
138896,459561,Pacific
33392,459810,Michigan St
143904,459810,Texas
221950,459854,Stevens
187776,459854,Rose-Hulman
10302,459993,Oklahoma Baptist
307318,459993,Ouachita
311336,459993,UTPB
277692,460985,Northern Ariz
26282,460985,Boise St
224120,461040,Denison
161361,461040,Villanova
134312,461040,Florida St
149115,461044,St. Francis
165055,461044,Wagner
152748,461054,Seattle U (M)
86131,461054,Seattle U (W)
20888,461126,Idaho
242674,461126,Cleveland St
272627,461144,UNLV (W)
124698,461144,UNLV (M)
313070,461256,Northern State
304425,461256,WCU
241347,461398,Michigan
275805,461398,South Carolina
40440,461641,New Mexico
250786,461641,Cincinnati
140006,461726,Alabama
226903,461726,NYU
118896,462139,Findlay
358498,462139,Case Western
157171,462158,LIU
80461,462158,Western Ill
186733,462158,Lynn
105368,462458,Wyoming (W)
152763,462458,Wyoming (M)
277956,462470,St. Louis
318751,462470,Rhodes
83703,462488,Missouri St. (M)
258934,462488,Missouri St (W)
164564,462762,Ball State
88124,462762,Michigan St
77220,463612,Connecticut
347778,463612,Berry
181519,463931,Indy
169037,463931,King
110918,464808,SMU
185919,464808,West Chester
132726,466212,La Salle
147314,466212,Monmouth
78703,466240,Coast Guard
284537,466240,Colorado St.
238289,466249,Notre Dame
318312,466249,Saint Vincent
177687,466717,Henderson St.
187428,466717,Alfred
129378,466717,Cornell
136707,467284,Michigan
97994,467284,Denver
165798,467284,Florida
176016,467284,Saginaw Valley
150392,467284,Georgia
139633,468728,Auburn
145105,468728,Michigan
272502,468961,Air Force (W)
66435,468961,Air Force (M)
307149,468975,Drury
284443,468975,Air Force (W)
27282,469021,SIUC (W)
290823,469021,CSUB
161815,469803,Indiana
20175,469803,Texas
250451,471232,East Carolina
341922,471232,Lebanon Valley
43121,471645,Mt St Mary's
182509,471645,Fresno Pacific
192554,471667,SUNY Geneseo
89051,471667,Eastern Ill
83632,473927,UNC Asheville
295363,473927,Queens (NC)
146007,474597,Gardner-Webb
174062,474597,Oklahoma Baptist
87584,474783,Carson-Newman
150980,474783,Bucknell
41110,474912,Princeton
238694,474912,UNC
15303,476503,East Carolina
268087,476503,Liberty
72305,477863,Notre Dame
195241,477863,John Carroll
247475,478162,Colgate
319388,478162,Colorado College
22220,478281,Bowdoin
287252,478281,Columbia
108430,478380,Air Force (M)
260642,478380,Air Force (W)
162600,478728,Virginia
195035,478728,Pacific Lutheran
235243,478898,Grand Canyon
255852,478898,North Texas
347559,479014,Berry
292274,479014,Barton
230702,479105,Akron
94833,479105,William & Mary
8815,479126,Old Dominion (M)
242026,479126,Old Dominion (W)
53717,479361,Seattle U (W)
166973,479361,Seattle U (M)
104400,479365,Catawba
311327,479365,Nebraska Kearney
330659,479518,Carleton
343130,479518,Cedar Crest
286845,479518,Michigan
271574,479570,San Diego
284550,479570,San Diego St
279632,480154,Xavier
69182,480154,Wingate
354855,480154,MIT
286647,480154,Northwestern
267778,480154,Virginia MI
167575,480488,St. Louis
69590,480488,TCU
143972,480579,West Virginia
195739,480579,Hendrix
276624,481722,Lafayette
355200,481722,Rowan
146634,482226,Cleveland St
33530,482226,Louisville
263163,482400,Alabama
107453,482400,Indiana
129830,482423,Evansville (M)
119288,482423,Evansville (W)
230962,482540,Bowling Green
5158,482540,Eastern Mich
161565,482558,Ohio St
51167,482558,West Virginia
154782,482638,Cleveland St
87888,482638,Tennessee
228836,483294,Old Dominion (W)
100068,483294,Old Dominion (M)
189644,483441,Colby
63686,483441,Georgetown
174046,483789,Mines
7227,483789,Ohio Wesleyan
250210,484195,Stony Brook
65910,484195,Providence
111629,484284,IU Indianapolis
227643,484284,North Central
287850,484286,Missouri St (W)
