,50 Y Free Time,50 S Free Time,50 L Free Time,100 Y Free Time,100 S Free Time,100 L Free Time,200 Y Free Time,200 S Free Time,200 L Free Time,500 Y Free Time,400 S Free Time,400 L Free Time,1000 Y Free Time,800 S Free Time,800 L Free Time,1650 Y Free Time,1500 S Free Time,1500 L Free Time,100 Y Back Time,100 S Back Time,100 L Back Time,200 Y Back Time,200 S Back Time,200 L Back Time,100 Y Breast Time,100 S Breast Time,100 L Breast Time,200 Y Breast Time,200 S Breast Time,200 L Breast Time,100 Y Fly Time,100 S Fly Time,100 L Fly Time,200 Y Fly Time,200 S Fly Time,200 L Fly Time,100 Y IM Time,100 S IM Time,200 Y IM Time,200 S IM Time,200 L IM Time,400 Y IM Time,400 S IM Time,400 L IM Time,50 Y Free Points,50 S Free Points,50 L Free Points,100 Y Free Points,100 S Free Points,100 L Free Points,200 Y Free Points,200 S Free Points,200 L Free Points,500 Y Free Points,400 S Free Points,400 L Free Points,1000 Y Free Points,800 S Free Points,800 L Free Points,1650 Y Free Points,1500 S Free Points,1500 L Free Points,100 Y Back Points,100 S Back Points,100 L Back Points,200 Y Back Points,200 S Back Points,200 L Back Points,100 Y Breast Points,100 S Breast Points,100 L Breast Points,200 Y Breast Points,200 S Breast Points,200 L Breast Points,100 Y Fly Points,100 S Fly Points,100 L Fly Points,200 Y Fly Points,200 S Fly Points,200 L Fly Points,100 Y IM Points,100 S IM Points,200 Y IM Points,200 S IM Points,200 L IM Points,400 Y IM Points,400 S IM Points,400 L IM Points
557920,25.10,,,55.31,,,1:58.45,,,5:34.43,,,11:29.52,,,,,,59.10,,,2:09.85,,,1:15.93,,,2:44.77,,,1:00.76,,,,,,,,2:12.85,,,4:48.74,,,44.95,,,49.04,,,44.97,,,73.18,,,71.61,,,,,,43.98,,,50.19,,,100.00,,,100.00,,,57.62,,,,,,,,48.30,,,55.45,,
367306,,,28.59,,,1:00.77,1:54.87,,,,,4:44.19,12:06.41,,,,,20:34.79,,,1:19.78,2:17.67,,,1:20.64,,,2:52.79,,,1:04.04,,,,,,,,2:20.87,,,,,,,,41.11,,,31.64,32.31,,,,,45.26,100.00,,,,,93.36,,,100.00,78.80,,,100.00,,,100.00,,,84.38,,,,,,,,76.62,,,,,
508684,,,,,,59.07,,2:02.54,,,4:17.03,,,,9:12.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.98,,17.58,,,17.49,,,,21.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298908,30.53,,,,,,2:21.78,,,6:25.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.00,,,,,,100.00,,,100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
558592,,,27.76,52.10,,,1:52.37,,,5:00.81,,,10:39.55,,,,,18:12.90,1:05.69,,,,,,1:08.42,,,2:27.71,,,1:01.51,,,,,,,,2:09.44,,,,,5:17.74,,,29.26,24.73,,,23.92,,,26.30,,,37.14,,,,,34.38,97.34,,,,,,49.80,,,48.47,,,63.49,,,,,,,,37.25,,,,,38.89
547673,,,28.87,,,1:01.38,1:55.30,,,5:09.08,,,,,9:39.66,21:06.15,,,1:01.03,,,2:09.42,,,1:16.68,,,2:41.66,,,,,1:09.22,2:51.27,,,1:20.43,,2:08.83,,,,,5:21.05,,,45.27,,,35.61,33.79,,,36.92,,,,,39.42,100.00,,,58.45,,,48.71,,,100.00,,,94.32,,,,,51.07,100.00,,,100.00,,35.33,,,,,43.24
543889,25.98,,,,,1:02.12,1:52.56,,,5:05.57,,,10:28.01,,,17:28.33,,,,,1:16.65,,,2:58.95,,,,,,3:44.66,,,1:09.20,,,2:28.06,1:05.66,,2:13.13,,,4:45.83,,,60.62,,,,,40.54,24.55,,,32.34,,,29.90,,,29.93,,,,,100.00,,,100.00,,,,,,100.00,,,50.94,,,41.83,81.47,,49.23,,,50.83,,
543954,,,28.77,,,1:00.24,1:55.44,,,5:10.53,,,,,10:07.26,,,19:35.04,56.33,,,2:01.28,,,,,1:23.00,,,,,,1:05.67,,,2:22.43,58.77,,2:03.63,,,4:29.13,,,,,43.77,,,28.25,34.27,,,38.84,,,,,60.14,,,66.77,24.80,,,22.56,,,,,73.55,,,,,,29.14,,,26.37,30.41,,19.71,,,26.07,,
547729,24.51,,,,,1:02.18,1:55.13,,,5:07.18,,,10:48.60,,,,,,58.08,,,2:05.66,,,1:16.35,,,,,3:24.98,,,1:07.55,,,2:34.43,1:11.65,,2:15.06,,,,,5:35.17,35.03,,,,,40.95,33.20,,,34.42,,,43.00,,,,,,36.70,,,36.21,,,100.00,,,,,100.00,,,40.47,,,60.80,100.00,,55.77,,,,,62.85
495516,,,29.79,,,1:02.29,1:59.65,,,,,,,,,,,,,,,,,,,,1:13.30,2:17.66,,,,,,,,,,,2:09.79,,,5:03.27,,,,,59.50,,,41.69,49.39,,,,,,,,,,,,,,,,,,,,19.85,20.37,,,,,,,,,,,38.35,,,79.96,,
