Name,School,Power,Link,Hometown
Sam Leatherwood,Evansville (M),38.99,/swimmer/482423,"Milford, OH"
Ryan Short,Ball State,24.95,/swimmer/400255,"Mattawan, MI"
Janson Garman,Evansville (M),36.97,/swimmer/492647,"Topeka, KS"
Michael Whitehead,Evansville (M),-1.0,,
Matt Fetterman,Miami (Ohio),-1.0,,
Max Ransom,SIUC (M),-1.0,,
Josh Graves,Evansville (M),-1.0,,
Pawel Krawczyk,Missouri St. (M),100.0,/swimmer/895334,"Warsaw, POL"
Zeke Metz,Evansville (M),-1.0,,
Billy Bennett,Valparaiso (M),26.41,/swimmer/582421,"Libertyville, IL"
Austin Smith,Evansville (M),-1.0,,
Jacob Bailey,Evansville (M),-1.0,,
Tyler Lewis,Missouri St. (M),-1.0,,
Aiden Maurer,Ball State,100.0,/swimmer/1189720,"South Bend, IN"
Griffin Hammett,Evansville (M),-1.0,,
Bennet Witteveen,Ball State,28.37,/swimmer/392880,"Carol Stream, IL"
Noah Berryman,Ball State,46.82,/swimmer/473699,"Brownsburg, IN"
Aulden Nance,Evansville (M),100.0,/swimmer/391671,"Evansville, IN"
Brian Daniels,Valparaiso (M),37.91,/swimmer/489975,"Brookfield, WI"
Rick Renner,Valparaiso (M),-1.0,,
David Killian,Evansville (M),20.23,/swimmer/386022,"Conroe, TX"
Jacob Sampson,Evansville (M),-1.0,,
Sebastian Odent,Missouri St. (M),14.9,/swimmer/820519,"Nice, FRA"
Jacob Halem,Miami (Ohio),17.51,/swimmer/323093,"Clarksburg, MD"
Keenan Burgess,Valparaiso (M),-1.0,,
Dillon Freiberger,Ball State,22.55,/swimmer/484547,"Floyds Knobs, IN"
Jack Clouatre,Miami (Ohio),25.04,/swimmer/489375,"Highlands Ranch, CO"
Sam Flessner,SIUC (M),-1.0,,
James Vaughn,Missouri St. (M),23.42,/swimmer/459904,"Mckinney, TX"
Ian Marshall,SIUC (M),23.42,/swimmer/474729,"Nashville, TN"
Zachary Moody,Ball State,100.0,/swimmer/1058808,"Elwood, IN"
Ee Tan,Evansville (M),-1.0,,
Trystan Lundgren,Miami (Ohio),23.28,/swimmer/456949,"Hinsdale, IL"
Sam Curran,Miami (Ohio),-1.0,,
Max Dehen,Evansville (M),35.49,/swimmer/653481,"Brooklyn Center, MN"
Pierce Lively,Evansville (M),32.01,/swimmer/321887,"Catoosa, GA"
Ryan Sego,Miami (Ohio),14.49,/swimmer/392914,"Batavia, IL"
Jacob Berkheimer,Missouri St (W),33.02,/swimmer/542901,"Springfield, MO"
Caleb Whittington,Missouri St (W),-1.0,,
Corbett Wilson,Missouri St (W),75.8,/swimmer/1233179,"Rogersville, MO"
Jason Allen,Missouri St (W),-1.0,,
Matthew Morris,Missouri St (W),-1.0,,
Kevin Chen,Missouri St (W),-1.0,,
Quinn McCurry,Missouri St (W),61.56,/swimmer/1195508,"Springfield, MO"
