ID,50 Y Free Time,50 S Free Time,50 L Free Time,100 Y Free Time,100 S Free Time,100 L Free Time,200 Y Free Time,200 S Free Time,200 L Free Time,500 Y Free Time,400 S Free Time,400 L Free Time,1000 Y Free Time,800 S Free Time,800 L Free Time,1650 Y Free Time,1500 S Free Time,1500 L Free Time,100 Y Back Time,100 S Back Time,100 L Back Time,200 Y Back Time,200 S Back Time,200 L Back Time,100 Y Breast Time,100 S Breast Time,100 L Breast Time,200 Y Breast Time,200 S Breast Time,200 L Breast Time,100 Y Fly Time,100 S Fly Time,100 L Fly Time,200 Y Fly Time,200 S Fly Time,200 L Fly Time,100 Y IM Time,100 S IM Time,200 Y IM Time,200 S IM Time,200 L IM Time,400 Y IM Time,400 S IM Time,400 L IM Time,50 Y Free Points,50 S Free Points,50 L Free Points,100 Y Free Points,100 S Free Points,100 L Free Points,200 Y Free Points,200 S Free Points,200 L Free Points,500 Y Free Points,400 S Free Points,400 L Free Points,1000 Y Free Points,800 S Free Points,800 L Free Points,1650 Y Free Points,1500 S Free Points,1500 L Free Points,100 Y Back Points,100 S Back Points,100 L Back Points,200 Y Back Points,200 S Back Points,200 L Back Points,100 Y Breast Points,100 S Breast Points,100 L Breast Points,200 Y Breast Points,200 S Breast Points,200 L Breast Points,100 Y Fly Points,100 S Fly Points,100 L Fly Points,200 Y Fly Points,200 S Fly Points,200 L Fly Points,100 Y IM Points,100 S IM Points,200 Y IM Points,200 S IM Points,200 L IM Points,400 Y IM Points,400 S IM Points,400 L IM Points
407830,,,,49.34,,,1:45.70,,,4:52.02,,,10:49.75,,,17:46.94,,,59.26,,,2:11.92,,,1:05.97,,,2:14.01,,,52.15,,,1:56.17,,,,,1:57.47,,,4:17.24,,,,,,42.2,,,30.83,,,40.7,,,64.28,,,60.72,,,93.92,,,100.0,,,82.12,,,48.18,,,32.39,,,32.53,,,,,32.16,,,38.49,,
594168,24.99,,,,,1:00.90,1:52.76,,,4:49.44,,,10:04.68,,,16:57.87,,,1:02.95,,,2:11.37,,,1:05.61,,,2:15.81,,,,,1:01.66,1:56.54,,,,,2:02.37,,,4:13.23,,,100.0,,,,,84.6,65.03,,,41.18,,,39.18,,,42.93,,,100.0,,,100.0,,,86.38,,,60.62,,,,,57.44,41.48,,,,,56.65,,,39.37,,
394761,22.24,,,48.52,,,1:50.93,,,4:55.82,,,10:29.85,,,17:19.76,,,56.22,,,2:04.00,,,57.99,,,2:05.96,,,,,57.41,1:52.11,,,55.55,,1:52.52,,,4:04.56,,,45.97,,,41.21,,,57.17,,,50.65,,,57.17,,,52.28,,,74.0,,,77.03,,,29.0,,,28.35,,,,,27.27,26.06,,,33.57,,22.01,,,25.64,,
490832,24.63,,,51.14,,,1:49.08,,,4:49.16,,,11:36.06,,,19:18.66,,,1:01.12,,,2:10.76,,,59.67,,,2:10.35,,,,,1:04.09,2:04.66,,,,,1:58.95,,,4:09.96,,,97.92,,,65.17,,,49.49,,,40.77,,,100.0,,,100.0,,,100.0,,,100.0,,,40.45,,,42.13,,,,,76.68,72.93,,,,,43.96,,,34.08,,
382624,,,23.78,46.20,,,1:42.53,,,,,4:18.22,,,,,,17:02.97,50.24,,,1:55.54,,,58.88,,,2:19.40,,,49.44,,,1:58.68,,,50.92,,1:56.88,,,4:17.39,,,,,11.38,16.92,,,19.49,,,,,39.63,,,,,,36.89,18.55,,,35.59,,,29.78,,,66.66,,,12.95,,,41.24,,,31.65,,30.19,,,38.73,,
365029,20.93,,,46.20,,,,,2:08.45,,,,,,,,,,51.66,,,,,,,,,,,,49.39,,,1:51.13,,,52.90,,,,3:00.14,,,,13.28,,,14.23,,,,,64.28,,,,,,,,,,25.12,,,,,,,,,,,,10.15,,,12.27,,,25.94,,,,100.0,,,
423300,,,23.80,,,51.80,1:46.25,,,4:48.03,,,,,,,,,56.70,,,2:15.31,,,,,1:28.12,,,,,,56.80,2:02.34,,,1:06.72,,2:14.83,,,4:42.85,,,,,11.66,,,9.27,32.86,,,35.05,,,,,,,,,69.98,,,100.0,,,,,100.0,,,,,,17.06,54.62,,,100.0,,99.32,,,83.78,,
399065,21.52,,,47.31,,,1:46.78,,,4:54.65,,,10:32.66,,,,,,57.23,,,,,2:36.26,57.36,,,2:05.62,,,57.05,,,,,2:55.01,,,1:58.02,,,4:40.27,,,25.66,,,25.48,,,34.85,,,44.5,,,51.73,,,,,,74.76,,,,,100.0,20.06,,,22.23,,,73.02,,,,,100.0,,,34.01,,,78.82,,
395468,,,25.79,,,56.73,1:52.24,,,,,,,,,,,,56.58,,,,,,58.82,,,2:13.04,,,54.69,,,,,2:25.04,1:09.28,,2:00.38,,,,,5:07.21,,,41.8,,,43.22,56.45,,,,,,,,,,,,68.91,,,,,,29.38,,,45.01,,,52.54,,,,,76.09,100.0,,42.15,,,,,59.87
332297,22.15,,,48.07,,,1:54.55,,,,,5:08.00,,,,,,,57.70,,,2:09.46,,,57.87,,,2:07.16,,,52.00,,,2:18.08,,,57.33,,1:58.59,,,4:24.11,,,36.93,,,31.57,,,66.24,,,,,100.0,,,,,,,79.08,,,90.34,,,23.26,,,26.75,,,31.26,,,100.0,,,87.46,,35.94,,,49.8,,
